#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
16.730,Reduction and Prevention of Children's Exposure to Violence,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,B - PROJECT GRANTS,8/16/2013 5:01,1/1/1999 0:00
16.737,Gang Resistance Education and Training,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,B - PROJECT GRANTS,8/22/2012 5:00,1/1/2004 0:00
16.821,Juvenile Justice Reform and Reinvestment Demonstration Program,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,B - Project Grants,11/15/2013 5:00,7/19/2012 5:01
16.750,Support for Adam Walsh Act Implementation Grant Program,"Department of Justice / Office of Sex Offender Sentencing, Monitoring, Apprehending, Registering, and Tracking",B - PROJECT GRANTS,9/11/2015 5:00,1/1/2008 0:00
16.026,OVW Research and Evaluation Program,Department of Justice / Violence Against Women Office,B - Project Grants,2/18/2016 5:00,2/18/2016 5:00
16.524,Legal Assistance for Victims,Department of Justice / Violence Against Women Office,B - Project Grants,8/28/2014 5:01,1/1/1999 0:00
16.888,Consolidated And Technical Assistance Grant Program to Address Children and Youth Experiencing Domestic and Sexual Violence and Engage Men and Boys as Allies,Department of Justice / Violence Against Women Office,B - Project Grants,8/27/2014 5:00,7/22/2012 5:01
17.267,Incentive Grants - WIA Section 503,Department of Labor / Employment Training Administration,B - Project Grants,8/21/2015 5:00,1/1/2004 0:00
17.281,WIA/WIOA Dislocated Worker National Reserve Technical Assistance and Training,Department of Labor / Employment Training Administration,B - Project Grants,8/27/2015 5:01,8/27/2010 8:00
17.283,Workforce Innovation Fund,Department of Labor / Employment Training Administration,B - Project Grants,8/21/2015 5:00,7/22/2011 11:31
17.600,Mine Health and Safety Grants,Department of Labor / Mine Safety and Health Administration,B - PROJECT GRANTS,8/21/2015 5:00,1/1/1978 0:00
17.603,Brookwood-Sago Grant,Department of Labor / Mine Safety and Health Administration,B - PROJECT GRANTS,8/20/2015 5:00,1/1/2007 0:00
17.604,Safety and Health Grants,Department of Labor / Mine Safety and Health Administration,B - PROJECT GRANTS,8/20/2015 5:01,5/1/2009 0:00
17.503,Occupational Safety and Health_State Program,Department of Labor / Occupational Safety and Health Administration,B - PROJECT GRANTS,7/15/2015 5:00,1/1/1994 0:00
15.663,National Fish and Wildlife Foundation,Department of the Interior / Fish and Wildlife Service,B - Project Grants,7/28/2015 5:00,12/1/2010 10:43
15.925,National Maritime Heritage Grants Program,Department of the Interior / National Park Service,B - Project Grants,8/27/2015 5:02,7/17/2014 5:00
15.926,American Battlefield Protection,Department of the Interior / National Park Service,B - PROJECT GRANTS,8/27/2015 5:02,1/1/1997 0:00
15.928,Civil War Battlefield Land Acquisition Grants,Department of the Interior / National Park Service,B - PROJECT GRANTS,8/27/2015 5:02,1/1/2003 0:00
15.933,Preservation of Japanese American Confinement Sites,Department of the Interior / National Park Service,B - Project Grants,8/28/2015 5:01,7/30/2009 7:54
15.427,Federal Oil and Gas Royalty Management State and Tribal Coordination,Department of the Interior / Office of the Secretary,B - PROJECT GRANTS,2/7/2014 14:16,1/1/2008 0:00
20.110,Space Transportation Infrastructure Matching Grants,Department of Transportation,B - Project Grants,7/27/2015 5:00,6/19/2014 5:00
20.200,Highway Research and Development Program,Department of Transportation / Federal Highway Administration (FHWA),B - Project Grants,7/27/2015 5:00,1/1/1970 0:00
20.240,Fuel Tax Evasion-Intergovernmental Enforcement Effort,Department of Transportation / Federal Highway Administration (FHWA),B - PROJECT GRANTS,7/27/2015 5:00,1/1/2006 0:00
20.313,Railroad Research and Development,Department of Transportation / Federal Railroad Administration (FRA),B - PROJECT GRANTS,7/22/2015 5:00,1/1/2000 0:00
20.314,Railroad Development,Department of Transportation / Federal Railroad Administration (FRA),B - PROJECT GRANTS,7/22/2015 5:00,1/1/2006 0:00
20.317,Capital Assistance to States - Intercity Passenger Rail Service,Department of Transportation / Federal Railroad Administration (FRA),B - PROJECT GRANTS,8/12/2015 5:00,1/1/2008 0:00
20.321,Railroad Safety Technology Grants,Department of Transportation / Federal Railroad Administration (FRA),B - Project Grants,8/1/2015 5:00,3/3/2010 10:00
20.516,Job Access And Reverse Commute Program,Department of Transportation / Federal Transit Administration (FTA),B - PROJECT GRANTS,8/5/2015 5:00,1/1/2000 0:00
20.519,Clean Fuels,Department of Transportation / Federal Transit Administration (FTA),B - PROJECT GRANTS,8/5/2015 5:00,1/1/2006 0:00
20.522,Alternatives Analysis,Department of Transportation / Federal Transit Administration (FTA),B - PROJECT GRANTS,8/5/2015 5:00,1/1/2006 0:00
20.816,America’s Marine Highway Grants,Department of Transportation / Maritime Administration (MARAD),B - Project Grants,8/8/2015 5:00,7/15/2010 7:38
20.601,Alcohol Impaired Driving Countermeasures Incentive Grants I,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),B - PROJECT GRANTS,11/14/2015 5:01,11/13/2008 0:00
20.602,Occupant Protection Incentive Grants,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),B - PROJECT GRANTS,11/18/2015 5:00,10/17/2000 0:00
20.607,Alcohol Open Container Requirements,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),B - PROJECT GRANTS,7/25/2015 5:00,1/1/2004 0:00
20.608,Minimum Penalties for Repeat Offenders for Driving While Intoxicated,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),B - PROJECT GRANTS,7/25/2015 5:00,1/1/2004 0:00
20.609,Safety Belt Performance Grants,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),B - PROJECT GRANTS,11/18/2015 5:00,4/17/2006 0:00
20.610,State Traffic Safety Information System Improvement Grants,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),B - PROJECT GRANTS,11/18/2015 5:00,4/17/2006 0:00
20.613,Child Safety and Child Booster Seats Incentive Grants,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),B - PROJECT GRANTS,11/18/2015 5:00,4/17/2006 0:00
20.762,Research Grants,Department of Transportation / Office of the Secretary (OST) Administration Secretariate,B - Project Grants,8/5/2015 5:00,1/1/2006 0:00
20.930,Payments for Small Community Air Service Development,Department of Transportation / Office of the Secretary (OST) Administration Secretariate,B - PROJECT GRANTS,7/22/2015 5:00,1/1/2004 0:00
20.931,"Transportation Planning, Research and Education",Department of Transportation / Office of the Secretary (OST) Administration Secretariate,B - PROJECT GRANTS,7/22/2015 5:00,1/1/2006 0:00
20.932,Surface Transportation _ Discretionary Grants for Capital Investment,Department of Transportation / Office of the Secretary (OST) Administration Secretariate,B - Project Grants,8/6/2015 5:00,10/4/2009 13:19
20.933,National Infrastructure Investments,Department of Transportation / Office of the Secretary (OST) Administration Secretariate,B - Project Grants,8/6/2015 5:00,4/5/2010 7:13
20.934,Nationally Significant Freight and Highway Projects,Department of Transportation / Office of the Secretary (OST) Administration Secretariate,B - Project Grants,3/5/2016 5:00,3/5/2016 5:00
20.721,PHMSA Pipeline Safety Program One Call Grant,Department of Transportation / Pipeline and Hazardous Materials Safety Administration,B - PROJECT GRANTS,8/6/2015 5:00,1/1/2008 0:00
66.001,Air Pollution Control Program Support,Environmental Protection Agency / Office of Air and Radiation,B - PROJECT GRANTS,8/1/2015 5:00,1/1/1971 0:00
66.032,State Indoor Radon Grants,Environmental Protection Agency / Office of Air and Radiation,B - PROJECT GRANTS,8/28/2015 5:00,1/1/1989 0:00
66.033,Ozone Transport Commission,Environmental Protection Agency / Office of Air and Radiation,B - PROJECT GRANTS,8/28/2015 5:01,1/1/1997 0:00
66.034,"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act",Environmental Protection Agency / Office of Air and Radiation,B - PROJECT GRANTS,8/28/2015 5:01,1/1/2002 0:00
66.037,"Internships, Training and Workshops for the Office of Air and Radiation",Environmental Protection Agency / Office of Air and Radiation,B - PROJECT GRANTS,9/2/2015 5:01,1/1/2006 0:00
66.039,National Clean Diesel Emissions Reduction Program,Environmental Protection Agency / Office of Air and Radiation,B - PROJECT GRANTS,9/5/2015 5:00,1/1/2008 0:00
66.042,Temporally Integrated Monitoring of Ecosystems (TIME) and Long-Term Monitoring (LTM) Program,Environmental Protection Agency / Office of Air and Radiation,B - Project Grants,9/17/2015 5:00,3/15/2010 8:46
66.043,"Regional Healthy Indoor Air Projects for Community Outreach and Education, Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act",Environmental Protection Agency / Office of Air and Radiation,B - Project Grants,8/9/2014 5:00,3/15/2013 5:00
66.707,TSCA Title IV State Lead Grants Certification of Lead-Based Paint Professionals,Environmental Protection Agency / Office of Chemical Safety and Pollution Prevention,B - PROJECT GRANTS,11/28/2015 5:00,1/1/1994 0:00
66.708,Pollution Prevention Grants Program,Environmental Protection Agency / Office of Chemical Safety and Pollution Prevention,B - PROJECT GRANTS,9/11/2015 5:00,1/1/1994 0:00
66.714,Regional Agricultural IPM Grants,Environmental Protection Agency / Office of Chemical Safety and Pollution Prevention,B - PROJECT GRANTS,9/11/2015 5:00,1/1/1999 0:00
66.716,"Rearch, Development, Monitoring, Public Education, Outreach, Training, Demonstrations, and Studies",Environmental Protection Agency / Office of Chemical Safety and Pollution Prevention,B - PROJECT GRANTS,11/20/2015 17:05,1/1/2003 0:00
66.717,Source Reduction Assistance,Environmental Protection Agency / Office of Chemical Safety and Pollution Prevention,B - PROJECT GRANTS,11/14/2015 5:01,1/1/2002 0:00
66.305,Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers,Environmental Protection Agency / Office of Enforcement and Compliance Assurance,B - PROJECT GRANTS,9/4/2015 5:00,1/1/2002 0:00
66.310,Capacity Building Grants and Cooperative Agreements for Compliance Assurance and Enforcement Activities in Indian Country and Other Tribal Areas,Environmental Protection Agency / Office of Enforcement and Compliance Assurance,B - PROJECT GRANTS,9/12/2015 5:00,1/1/2005 0:00
66.313,International Compliance and Enforcement Projects,Environmental Protection Agency / Office of Enforcement and Compliance Assurance,B - Project Grants,9/5/2015 5:00,11/8/2010 12:42
66.608,Environmental Information Exchange Network Grant Program and Related Assistance,Environmental Protection Agency / Office of Environmental Information,B - PROJECT GRANTS,9/11/2015 5:00,1/1/1997 0:00
66.931,International Financial Assistance Projects Sponsored by the Office of International and Tribal Affairs,Environmental Protection Agency / Office of International and Tribal Affairs,B - PROJECT GRANTS,9/5/2015 5:00,1/1/2002 0:00
66.509,Science To Achieve Results (STAR) Research Program,Environmental Protection Agency / Office of Research and Development (ORD),B - PROJECT GRANTS,9/12/2015 5:00,1/1/2002 0:00
66.510,"Surveys, Studies, Investigations and Special Purpose Grants within the Office of Research and Development",Environmental Protection Agency / Office of Research and Development (ORD),B - PROJECT GRANTS,9/12/2015 5:00,1/1/2003 0:00
66.511,Office of Research and Development Consolidated Research/Training/Fellowships,Environmental Protection Agency / Office of Research and Development (ORD),B - PROJECT GRANTS,9/12/2015 5:00,1/1/2002 0:00
66.517,Regional Applied Research Efforts (RARE),Environmental Protection Agency / Office of Research and Development (ORD),B - PROJECT GRANTS,9/5/2015 5:00,1/1/2007 0:00
66.813,"Alternative or Innovative Treatment Technology Research, Demonstration, Training, and Hazardous Substance Research Grants",Environmental Protection Agency / Office of Solid Waste and Emergency Response,B - PROJECT GRANTS,9/5/2015 5:00,1/1/2002 0:00
66.816,Headquarters and Regional Underground Storage Tanks Program,Environmental Protection Agency / Office of Solid Waste and Emergency Response,B - PROJECT GRANTS,9/5/2015 5:00,1/1/2002 0:00
66.610,"Surveys, Studies, Investigations and Special Purpose Grants within the Office of the Administrator",Environmental Protection Agency / Office of the Administrator,B - PROJECT GRANTS,12/4/2015 5:04,1/1/2003 0:00
66.611,Environmental Policy and Innovation Grants,Environmental Protection Agency / Office of the Administrator,B - PROJECT GRANTS,9/11/2015 5:00,1/1/2002 0:00
66.424,"Surveys, Studies, Investigations, Demonstrations, and Training Grants - Section 1442 of the Safe Drinking Water Act",Environmental Protection Agency / Office of Water,B - PROJECT GRANTS,9/4/2015 5:00,1/1/2003 0:00
66.436,"Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements - Section 104(b)(3) of the Clean Water Act",Environmental Protection Agency / Office of Water,B - PROJECT GRANTS,9/9/2015 5:01,1/1/2003 0:00
66.437,Long Island Sound Program,Environmental Protection Agency / Office of Water,B - PROJECT GRANTS,9/9/2015 5:01,1/1/2004 0:00
66.440,Urban Waters Small Grants,Environmental Protection Agency / Office of Water,B - Project Grants,9/4/2015 5:00,9/24/2011 5:00
66.466,Chesapeake Bay Program,Environmental Protection Agency / Office of Water,B - PROJECT GRANTS,9/11/2015 5:00,1/1/1994 0:00
66.467,Wastewater Operator Training Grant Program,Environmental Protection Agency / Office of Water,B - PROJECT GRANTS,9/11/2015 5:00,1/1/1994 0:00
